Timestamp,Agency,Area,CarParkID,Development,Location,LotType
2020-08-19 19:09:08,LTA,Marina,2,Marina Square,1.29115 103.85728,C
2020-08-19 19:09:08,LTA,Marina,3,Raffles City,1.29382 103.85319,C
2020-08-19 19:09:08,LTA,Marina,4,The Esplanade,1.29011 103.85561,C
2020-08-19 19:09:08,LTA,Marina,5,Millenia Singapore,1.29251 103.86009,C
2020-08-19 19:09:08,LTA,Marina,6,Singapore Flyer,1.28944 103.86311,C
2020-08-19 19:09:08,LTA,Orchard,7,Orchard Point,1.30135 103.84061,C
2020-08-19 19:09:08,LTA,Orchard,8,The Heeren,1.30255 103.83739,C
2020-08-19 19:09:08,LTA,Orchard,9,Plaza Singapura,1.30103 103.84503,C
2020-08-19 19:09:08,LTA,Orchard,10,The Cathay,1.2995 103.84762,C
2020-08-19 19:09:08,LTA,Orchard,11,Cineleisure,1.30151 103.83641,C
2020-08-19 19:09:08,LTA,Orchard,12,Mandarin Hotel,1.30216 103.83601,C
2020-08-19 19:09:08,LTA,Orchard,13,Ngee Ann City,1.30236 103.8349,C
2020-08-19 19:09:08,LTA,Orchard,14,Wisma Atria,1.30366 103.83327,C
2020-08-19 19:09:08,LTA,Orchard,15,Wheelock Place,1.3048 103.83063,C
2020-08-19 19:09:08,LTA,Harbfront,16,VivoCity P3,1.26421 103.82263,C
2020-08-19 19:09:08,LTA,Harbfront,17,Sentosa,1.25017 103.83126,C
2020-08-19 19:09:08,LTA,Orchard,18,Tang Plaza,1.30491 103.83312,C
2020-08-19 19:09:08,LTA,Harbfront,19,Harbourfront Centre,1.26426 103.82011,C
2020-08-19 19:09:08,LTA,Orchard,20,Far East Plaza,1.3071 103.83359,C
2020-08-19 19:09:08,LTA,Orchard,21,Centrepoint,1.302 103.83975,C
2020-08-19 19:09:08,LTA,Orchard,22,Concorde Hotel,1.3006 103.84191,C
2020-08-19 19:09:08,LTA,Orchard,23,ION Orchard,1.30403 103.83206,C
2020-08-19 19:09:08,LTA,Orchard,24,313@Somerset,1.30084 103.83872,C
2020-08-19 19:09:08,LTA,Harbfront,26,Resorts World Sentosa,1.25667 103.82012,C
2020-08-19 19:09:08,LTA,Orchard,27,Orchard Central,1.30072 103.83979,C
2020-08-19 19:09:08,LTA,Marina,29,Marina Bay Sands,1.28225028515239 103.858300275795,C
2020-08-19 19:09:08,LTA,JurongLakeDistrict,43,Westgate,1.3343 103.74282,C
2020-08-19 19:09:08,LTA,Harbfront,50,VivoCity P2,1.26426 103.82164,C
2020-08-19 19:09:08,LTA,Orchard,52,Orchard Gateway,1.30048 103.83931,C
2020-08-19 19:09:08,LTA,JurongLakeDistrict,53,IMM Building,1.334847 103.746815,C
2020-08-19 19:09:08,LTA,JurongLakeDistrict,54,JCube,1.33341 103.740088,C
2020-08-19 19:09:08,LTA,Orchard,55,Paragon,1.3038 103.83585,C
2020-08-19 19:09:08,LTA,Marina,56,National Gallery,1.29027 103.85167,C
2020-08-19 19:09:08,LTA,Orchard,57,The Atrium@Orchard,1.299781 103.84552,C
2020-08-19 19:09:08,LTA,Others,58,Bukit Panjang Plaza,1.37974 103.7644,C
2020-08-19 19:09:08,LTA,Others,59,Clarke Quay,1.290678 103.84648,C
2020-08-19 19:09:08,LTA,Others,60,The Star Vista,1.306787 103.78843,C
2020-08-19 19:09:08,LTA,Others,61,Bugis+,1.299748 103.85414,C
2020-08-19 19:09:08,LTA,Others,62,Lot One,1.385126 103.74494,C
2020-08-19 19:09:08,LTA,Others,63,Tampines Mall,1.352524 103.9447,C
2020-08-19 19:09:08,LTA,Others,64,Junction 8,1.350521 103.84859,C
2020-08-19 19:09:08,LTA,Others,65,Bedok Mall,1.3248 103.92939,C
2020-08-19 19:09:08,LTA,Others,66,Funan Mall,1.2911 103.8502,C
2020-08-19 19:09:08,URA,,A0007,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,C
2020-08-19 19:09:08,URA,,A0007,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,Y
2020-08-19 19:09:08,URA,,A0011,ARMENIAN STREET OFF STREET,1.2939260442319098 103.84886606187928,C
2020-08-19 19:09:08,URA,,A0021,AMOY STREET OFF STREET,1.280790422979401 103.84717734239698,C
2020-08-19 19:09:08,URA,,A0024,ADAM ROAD FOOD CENTRE OFF STREET,1.3241651253846303 103.81389905715554,C
2020-08-19 19:09:08,URA,,A0046,ALJUNIED ROAD OFF STREET,1.3138928367737375 103.88178819343076,C
2020-08-19 19:09:08,URA,,B0031,BEATTY ROAD OFF STREET,1.31411103114537 103.85960539693774,C
2020-08-19 19:09:08,URA,,B0032,BUKIT TIMAH MARKET OFF STREET,1.3390889296394692 103.77639634689159,C
2020-08-19 19:09:08,URA,,B0063,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305359211 103.76148104730633,C
2020-08-19 19:09:08,URA,,B0087,BAGHDAD STREET OFF STREET,1.3013034071461544 103.86037519945218,C
2020-08-19 19:09:08,URA,,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,1.320882494257288 103.95521451777431,C
2020-08-19 19:09:08,URA,,B0096,BUKIT TIMAH LINK OFF STREET,1.3413345543964925 103.7768692104473,C
2020-08-19 19:09:08,URA,,C0119,CEYLON ROAD OFF STREET,1.3098549757016427 103.89943305397595,C
2020-08-19 19:09:08,URA,,C0133,CARPENTER STREET OFF STREET,1.288265760877135 103.84818289117743,C
2020-08-19 19:09:08,URA,,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.3110998019417506 103.83975443423321,C
2020-08-19 19:09:08,URA,,C0162,CLEMENCEAU AVENUE OFF STREET,1.294103456467567 103.84455337328235,C
2020-08-19 19:09:08,URA,,C0162,CLEMENCEAU AVENUE OFF STREET,1.294103456467567 103.84455337328235,Y
2020-08-19 19:09:08,URA,,D0006,DUXTON HILL OFF STREET,1.279121361423107 103.84307668605454,C
2020-08-19 19:09:08,URA,,D0026,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,Y
2020-08-19 19:09:08,URA,,D0026,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,C
2020-08-19 19:09:08,URA,,D0028,DELTA CIRCUS FRINGE CAR PARK,1.2893051001281517 103.82465436208551,C
2020-08-19 19:09:08,URA,,E0023,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,C
2020-08-19 19:09:08,URA,,E0023,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,Y
2020-08-19 19:09:08,URA,,E0024,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,Y
2020-08-19 19:09:08,URA,,E0024,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,C
2020-08-19 19:09:08,URA,,E0027,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,C
2020-08-19 19:09:08,URA,,E0027,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,Y
2020-08-19 19:09:08,URA,,G0005,GRANGE ROAD / SOMERSET ROAD OFF STREET,1.3009525122830394 103.83745705625984,Y
2020-08-19 19:09:08,URA,,G0005,GRANGE ROAD / SOMERSET ROAD OFF STREET,1.3009525122830394 103.83745705625984,C
2020-08-19 19:09:08,URA,,H0003,HAMILTON ROAD OFF STREET,1.3116896699384313 103.86174541990424,C
2020-08-19 19:09:08,URA,,H0004,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,1.3119377259846055 103.79266055694676,C
2020-08-19 19:09:08,URA,,H0011,HOLLAND DRIVE OFF STREET,1.310779010541567 103.79325851931891,C
2020-08-19 19:09:08,URA,,H0015,HINDOO ROAD OFF STREET,1.3085901317745132 103.85406595189491,C
2020-08-19 19:09:08,URA,,H0022,HULLET ROAD OFF STREET,1.3032004091309377 103.83904302350693,C
2020-08-19 19:09:08,URA,,H0024,HONG LIM PARK OFF STREET,1.2864010712092964 103.84732683484889,C
2020-08-19 19:09:08,URA,,H0057,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,1.307959413362438 103.85449803048786,C
2020-08-19 19:09:08,URA,,J0017,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,Y
2020-08-19 19:09:08,URA,,J0017,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,C
2020-08-19 19:09:08,URA,,J0055,JALAN SEH CHUAN OFF STREET,1.3416072968226134 103.774983522264 1.3408712086914991 103.7747192635476,C
2020-08-19 19:09:08,URA,,J0092,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,C
2020-08-19 19:09:08,URA,,J0100,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,Y
2020-08-19 19:09:08,URA,,J0100,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,C
2020-08-19 19:09:08,URA,,J0122,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,C
2020-08-19 19:09:08,URA,,K0037,KING GEORGES AVENUE OFF STREET,1.3102875316446452 103.86155503310928,C
2020-08-19 19:09:08,URA,,K0039,KING GEORGES AVENUE/ HORNE ROAD OFF STREET,1.310011717603521 103.86195254067123,C
2020-08-19 19:09:08,URA,,K0082,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,C
2020-08-19 19:09:08,URA,,K0082,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,Y
2020-08-19 19:09:08,URA,,K0111,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,Y
2020-08-19 19:09:08,URA,,K0111,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,C
2020-08-19 19:09:08,URA,,K0121,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,C
2020-08-19 19:09:08,URA,,K0121,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,Y
2020-08-19 19:09:08,URA,,L0064,LORONG 21 GEYLANG OFF STREET,1.3138418922590445 103.87984207773486,C
2020-08-19 19:09:08,URA,,L0078,LORONG MYDIN OFF STREET,1.3191579615926596 103.91187813269345,C
2020-08-19 19:09:08,URA,,L0104,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,C
2020-08-19 19:09:08,URA,,L0104,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,Y
2020-08-19 19:09:08,URA,,L0107,LORONG BACHOK OFF STREET,1.3137312534590921 103.879441454655,C
2020-08-19 19:09:08,URA,,L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,1.31297192802134 103.88051592242522,C
2020-08-19 19:09:08,URA,,L0117,LORONG 25/25A GEYLANG OFF STREET,1.3153286534479876 103.88280272824034,Y
2020-08-19 19:09:08,URA,,L0117,LORONG 25/25A GEYLANG OFF STREET,1.3153286534479876 103.88280272824034,C
2020-08-19 19:09:08,URA,,L0123,LORONG 9/11 GEYLANG OFF STREET,,Y
2020-08-19 19:09:08,URA,,L0123,LORONG 9/11 GEYLANG OFF STREET,,C
2020-08-19 19:09:08,URA,,L0124,LORONG 37 GEYLANG OFF STREET,,Y
2020-08-19 19:09:08,URA,,L0124,LORONG 37 GEYLANG OFF STREET,,C
2020-08-19 19:09:08,URA,,L0125,LORONG 31 GEYLANG OFF STREET,,C
2020-08-19 19:09:08,URA,,L0125,LORONG 31 GEYLANG OFF STREET,,Y
2020-08-19 19:09:08,URA,,M0040,MACKENZIE ROAD A OFF STREET,1.305166862591867 103.84955574725188,C
2020-08-19 19:09:08,URA,,M0059,MACKENZIE ROAD B OFF STREET,1.3062999712327648 103.84694294724167 1.3058144966396488 103.84756472391136,C
2020-08-19 19:09:08,URA,,M0059,MACKENZIE ROAD B OFF STREET,1.3062999712327648 103.84694294724167 1.3058144966396488 103.84756472391136,H
2020-08-19 19:09:08,URA,,M0076,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,C
2020-08-19 19:09:08,URA,,M0076,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,Y
2020-08-19 19:09:08,URA,,M0078,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,Y
2020-08-19 19:09:08,URA,,M0078,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,C
2020-08-19 19:09:08,URA,,M0084,MARINA VIEW OFF STREET,1.2746496875172093 103.84947277096812,C
2020-08-19 19:09:08,URA,,M0088,MARGARET DRIVE OFF STREET,1.3004199971190697 103.80301640122015,C
2020-08-19 19:09:08,URA,,N0006,NEIL ROAD OFF STREET,1.2793383109971352 103.84191274173004,C
2020-08-19 19:09:08,URA,,N0012,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,C
2020-08-19 19:09:08,URA,,N0013,NORTH BRIDGE ROAD OFF  STREET,,C
2020-08-19 19:09:08,URA,,O0028,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,C
2020-08-19 19:09:08,URA,,O0028,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,Y
2020-08-19 19:09:08,URA,,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,1.2751330286026683 103.84819161939349,C
2020-08-19 19:09:08,URA,,P0033,PASIR RIS CLOSE OFF STREET,1.3769386098723717 103.95649247971937,C
2020-08-19 19:09:08,URA,,P0048,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,C
2020-08-19 19:09:08,URA,,P0048,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,Y
2020-08-19 19:09:08,URA,,P0054,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,Y
2020-08-19 19:09:08,URA,,P0054,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,C
2020-08-19 19:09:08,URA,,P0075,PENHAS ROAD / LAVENDER STREET OFF STREET,1.3099941806456645 103.86276472942548,C
2020-08-19 19:09:08,URA,,P0093,PASIR PANJANG ROAD OFF  STREET,1.2767043723268199 103.79566016940372,C
2020-08-19 19:09:08,URA,,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,Y
2020-08-19 19:09:08,URA,,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,C
2020-08-19 19:09:08,URA,,P0096,PENANG ROAD OFF STREET,1.29980874920638 103.84212527391578,C
2020-08-19 19:09:08,URA,,P0106,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,Y
2020-08-19 19:09:08,URA,,P0106,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,C
2020-08-19 19:09:08,URA,,P0109,PASIR RIS PARK CAR PARK E OFF STREET,1.384591856813094 103.94380876998527,C
2020-08-19 19:09:08,URA,,P0111,PAHANG STREET OFF STREET,1.301759650174214 103.86086565472472,C
2020-08-19 19:09:08,URA,,P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,C
